topic,time_ns
Lotus,8392500
Baseline,1585708
Lotus,6824458
Baseline,2178750
Lotus,7595458
Baseline,1862792
Lotus,6701709
Baseline,2218791
Lotus,7847458
Baseline,3243291
Lotus,8879791
Baseline,2432000
Lotus,7375958
Baseline,1592500
Lotus,7685375
Baseline,2408250
Lotus,8042041
Baseline,2471458
Lotus,9508375
Baseline,2098958
Lotus,8376875
Baseline,2955708
Lotus,9463250
Baseline,2465125
Lotus,8734125
Baseline,1882500
Lotus,6523958
Baseline,3108375
Lotus,9516708
Baseline,2179875
Lotus,7294459
Baseline,1900917
Lotus,7336875
Baseline,2371459
Lotus,7801167
Baseline,1613917
Lotus,8412792
Baseline,1197833
Lotus,4937583
Baseline,1552500
Lotus,6589000
Baseline,2312500
Lotus,7924375
Baseline,2314333
Lotus,8126250
Baseline,2807459
Lotus,10331042
Baseline,1789042
Lotus,6744209
Baseline,2550375
Lotus,7800166
Baseline,2445750
Lotus,7657250
Baseline,2187625
Lotus,7590250
Baseline,1873708
Lotus,6839333
Baseline,2323542
Lotus,7943875
Baseline,1975708
Lotus,7954541
Baseline,2341167
Lotus,8098500
Baseline,2026750
Lotus,9749667
Baseline,1974625
Lotus,6597833
Baseline,2401750
Lotus,8623583
Baseline,1809875
Lotus,7270375
Baseline,2509625
Lotus,8789416
Baseline,1834542
Lotus,7878917
Baseline,3015125
Lotus,9143083
Baseline,2501458
Lotus,8143000
Baseline,1928083
Lotus,6558708
Baseline,2029833
Lotus,6708625
Baseline,1797166
Lotus,6508708
Baseline,1638042
Lotus,7562125
Baseline,2497584
Lotus,9247417
Baseline,2126459
Lotus,7746917
Baseline,1593750
Lotus,7437792
Baseline,2500042
Lotus,8264042
Baseline,1761625
Lotus,7248250
Baseline,2021291
Lotus,8061583
Baseline,2532250
Lotus,9072834
Baseline,1672459
Lotus,6572584
Baseline,2214333
Lotus,9118333
Baseline,2343625
Lotus,7838166
Baseline,1980167
Lotus,6637458
Baseline,3034500
Lotus,9001417
Baseline,1869458
Lotus,7343708
Baseline,2743166
Lotus,7219291
Baseline,1812125
Lotus,6719291
Baseline,2576750
Lotus,7465667
Baseline,2228625
Lotus,8723833
Baseline,2552083
Lotus,9548125
Baseline,2183834
Lotus,8026875
Baseline,3152375
Lotus,9272750
Baseline,2193875
Lotus,7621542
Baseline,1536583
Lotus,6294875
Baseline,1712584
Lotus,8179375
Baseline,1603833
Lotus,6414125
Baseline,2526667
Lotus,15934125
Baseline,1127375
Lotus,5179791
Baseline,2403917
Lotus,9255084
Baseline,2107333
Lotus,6975375
Baseline,2283500
Lotus,7853375
Baseline,2061792
Lotus,8887625
Baseline,2103167
Lotus,7403959
Baseline,3841333
Lotus,10415208
Baseline,1988083
Lotus,7587125
Baseline,2413667
Lotus,7945209
Baseline,2872542
Lotus,9425750
Baseline,2002125
Lotus,6759250
Baseline,2141541
Lotus,8213583
Baseline,2741583
Lotus,8083333
Baseline,1895250
Lotus,9007792
Baseline,3145041
Lotus,10799583
Baseline,1902375
Lotus,8008750
Baseline,1992916
Lotus,6674250
Baseline,2391084
Lotus,7186917
Baseline,2262875
Lotus,8160458
Baseline,2184875
Lotus,8175250
Baseline,4685459
Lotus,9888875
Baseline,2121500
Lotus,7306167
Baseline,1983750
Lotus,8993958
Baseline,2344000
Lotus,7063792
Baseline,1592834
Lotus,7653625
Baseline,1506916
Lotus,6644583
Baseline,1943333
Lotus,7348833
Baseline,1479625
Lotus,6567625
Baseline,2290917
Lotus,6796583
Baseline,1678333
Lotus,6513458
Baseline,1305917
Lotus,5817042
Baseline,1095500
Lotus,5275167
Baseline,2379917
Lotus,8455333
Baseline,1718500
Lotus,6548958
Baseline,2195083
Lotus,10286667
Baseline,2319167
Lotus,9227958
Baseline,2068792
Lotus,7947959
Baseline,2760875
Lotus,8366417
Baseline,2978125
Lotus,8284333
Baseline,1989125
Lotus,8008875
Baseline,2928166
Lotus,8394208
Baseline,2579875
Lotus,8850834
Baseline,2513334
Lotus,7181792
Baseline,1992166
Lotus,6942750
Baseline,2455500
Lotus,8384792
Baseline,2176375
Lotus,7631916
Baseline,2363666
Lotus,8273000
Baseline,2731875
Lotus,9185000
Baseline,1691625
Lotus,8443000
Baseline,2171000
Lotus,7228666
Baseline,2606833
Lotus,7839041
Baseline,1488541
Lotus,6269458
Baseline,2399334
Lotus,7757417
Baseline,2018750
Lotus,6671167
Baseline,2418083
Lotus,8398791
Baseline,2555250
Lotus,7664625
Baseline,2185750
Lotus,6622708
Baseline,2261500
Lotus,7699000
Baseline,2561459
Lotus,8806375
Baseline,2135250
Lotus,6938000
Baseline,2185916
Lotus,8827458
Baseline,2036959
Lotus,6963375
Baseline,3171375
Lotus,8943417
Baseline,2589791
Lotus,8295458
Baseline,1810125
Lotus,6246750
Baseline,2435292
Lotus,8436625
Baseline,2306625
Lotus,6665959
Baseline,2074125
Lotus,7577792
Baseline,1233250
Lotus,6408708
Baseline,1904875
Lotus,6625000
Baseline,2613375
Lotus,7796375
Baseline,1709167
Lotus,7466000
Baseline,2201375
Lotus,7555000
Baseline,2525750
Lotus,8403875
Baseline,2210292
Lotus,6765250
Baseline,1894791
Lotus,6199416
Baseline,2219000
Lotus,7013584
Baseline,1955167
Lotus,6789792
Baseline,1883458
Lotus,6008333
Baseline,2247042
Lotus,7355084
Baseline,2079708
Lotus,7409667
Baseline,1881583
Lotus,6090083
Baseline,2037834
Lotus,6253167
Baseline,2442750
Lotus,7586708
Baseline,2282166
Lotus,6518125
Baseline,2281167
Lotus,7597667
Baseline,1977959
Lotus,6956625
Baseline,2394166
Lotus,8317250
Baseline,1055166
Lotus,5001041
Baseline,988083
Lotus,5069083
Baseline,1168208
Lotus,5118000
Baseline,1953208
Lotus,7924541
Baseline,3544458
Lotus,8953500
Baseline,2868625
Lotus,9154625
Baseline,2270708
Lotus,7750833
Baseline,1102333
Lotus,4814458
Baseline,1880416
Lotus,6427833
Baseline,2548875
Lotus,8001209
Baseline,2598542
Lotus,7786250
Baseline,2246417
Lotus,7818958
Baseline,1931708
Lotus,7347583
Baseline,2320208
Lotus,7055417
Baseline,1760375
Lotus,7517958
Baseline,2289291
Lotus,7626041
Baseline,1623417
Lotus,6646917
Baseline,1938708
Lotus,7010791
Baseline,1594417
Lotus,6115875
Baseline,2213625
Lotus,8525375
Baseline,2883791
Lotus,8636500
Baseline,2457458
Lotus,8265791
Baseline,3063166
Lotus,8239625
Baseline,2157583
Lotus,7038208
Baseline,1382000
Lotus,7431375
Baseline,2140917
Lotus,7021834
Baseline,2096250
Lotus,6814333
Baseline,1508792
Lotus,7467834
Baseline,1746583
Lotus,6281625
Baseline,3087666
Lotus,9970333
Baseline,1765458
Lotus,7302291
Baseline,1883583
Lotus,6453292
Baseline,1119875
Lotus,7210292
Baseline,1513542
Lotus,6569792
Baseline,1944958
Lotus,7492958
Baseline,1686583
Lotus,6520000
Baseline,2098500
Lotus,8225125
Baseline,1642958
Lotus,6922208
Baseline,2395375
Lotus,8154625
Baseline,2681875
Lotus,8296625
Baseline,1970625
Lotus,7555791
Baseline,2451250
Lotus,8144417
Baseline,2364041
Lotus,7494625
Baseline,2326791
Lotus,13521500
Baseline,1753625
Lotus,7767416
Baseline,1725291
Lotus,7736500
Baseline,1576125
Lotus,7304125
Baseline,2503000
Lotus,7168458
Baseline,2033625
Lotus,6442167
Baseline,2406458
Lotus,7362291
Baseline,1978541
Lotus,7038833
Baseline,2727291
Lotus,10548458
Baseline,2425542
Lotus,8412917
Baseline,1751916
Lotus,6968500
Baseline,2064375
Lotus,6331209
Baseline,2801667
Lotus,8344709
Baseline,2586000
Lotus,8185542
Baseline,1516500
Lotus,6026917
Baseline,2352500
Lotus,8548375
Baseline,1269833
Lotus,5973625
Baseline,1723958
Lotus,8305041
Baseline,2165125
Lotus,7968083
Baseline,3669292
Lotus,8795833
Baseline,1898125
Lotus,6292792
Baseline,2163458
Lotus,7067250
Baseline,2267458
Lotus,7715833
Baseline,1971834
Lotus,7525417
Baseline,1606791
Lotus,6820958
Baseline,2650917
Lotus,8667917
Baseline,1334583
Lotus,7270750
Baseline,1826459
Lotus,6255709
Baseline,1979375
Lotus,7579500
Baseline,2605333
Lotus,7648333
Baseline,1790417
Lotus,7119167
Baseline,2679167
Lotus,8825334
Baseline,1990625
Lotus,6752583
Baseline,1629375
Lotus,6461000
Baseline,1853042
Lotus,6781917
Baseline,1960375
Lotus,7328375
Baseline,1829625
Lotus,7889167
Baseline,1063875
Lotus,6816542
Baseline,1355083
Lotus,6608917
Baseline,2088417
Lotus,8278875
Baseline,2059625
Lotus,6877459
Baseline,1749916
Lotus,7483041
Baseline,1857458
Lotus,8115750
Baseline,2022208
Lotus,6979542
Baseline,1322167
Lotus,5850917
Baseline,1772209
Lotus,6933167
Baseline,1597959
Lotus,6823709
Baseline,2135250
Lotus,7193500
Baseline,2286584
Lotus,8526167
Baseline,2343583
Lotus,8099667
Baseline,1827333
Lotus,7254667
Baseline,2659000
Lotus,7838875
Baseline,1711916
Lotus,6186333
Baseline,1552875
Lotus,6026000
Baseline,1845792
Lotus,7827667
Baseline,2641458
Lotus,8335958
