topic,time_ns
Lotus,9762750
Baseline,2075791
Lotus,7835875
Baseline,2704459
Lotus,9100334
Baseline,1673958
Lotus,9551458
Baseline,3093792
Lotus,10191250
Baseline,2205292
Lotus,9008583
Baseline,3091750
Lotus,9456583
Baseline,1644834
Lotus,7148709
Baseline,1629417
Lotus,7223292
Baseline,2153417
Lotus,8705959
Baseline,1894416
Lotus,7409458
Baseline,2077583
Lotus,7369250
Baseline,3129834
Lotus,12367917
Baseline,1970292
Lotus,7795792
Baseline,2515458
Lotus,10905625
Baseline,1879709
Lotus,7437709
Baseline,1943541
Lotus,8363250
Baseline,1792959
Lotus,6921417
Baseline,3487834
Lotus,9952000
Baseline,1672792
Lotus,8866667
Baseline,2858125
Lotus,9142291
Baseline,2922041
Lotus,8765708
Baseline,3361458
Lotus,9217375
Baseline,1958625
Lotus,7438833
Baseline,3299750
Lotus,10856209
Baseline,1976708
Lotus,6902916
Baseline,3728625
Lotus,10875792
Baseline,2109959
Lotus,7581875
Baseline,1135625
Lotus,6753375
Baseline,1200875
Lotus,7591667
Baseline,1614208
Lotus,6965250
Baseline,2224292
Lotus,8227625
Baseline,2171459
Lotus,7796667
Baseline,1702083
Lotus,9167167
Baseline,2802250
Lotus,10404375
Baseline,2176667
Lotus,7787125
Baseline,3582750
Lotus,11694500
Baseline,1847000
Lotus,7633292
Baseline,2646208
Lotus,9513333
Baseline,2747292
Lotus,8637583
Baseline,1187042
Lotus,5489917
Baseline,1667875
Lotus,7039500
Baseline,3229958
Lotus,9227000
Baseline,2165583
Lotus,7062375
Baseline,1926208
Lotus,8274250
Baseline,1694000
Lotus,7610959
Baseline,2393709
Lotus,11525917
Baseline,2118917
Lotus,9103959
Baseline,3738208
Lotus,13314666
Baseline,2295417
Lotus,7632500
Baseline,2687000
Lotus,10309792
Baseline,1627167
Lotus,7234834
Baseline,2416417
Lotus,8567167
Baseline,2263000
Lotus,7349875
Baseline,2637042
Lotus,9903834
Baseline,1992750
Lotus,6642000
Baseline,2508375
Lotus,8576542
Baseline,2021416
Lotus,6972416
Baseline,3551000
Lotus,10505125
Baseline,1810458
Lotus,7496500
Baseline,2682459
Lotus,9768000
Baseline,1852709
Lotus,7412084
Baseline,3408542
Lotus,11368167
Baseline,1940625
Lotus,8410959
Baseline,2305375
Lotus,8042292
Baseline,1770750
Lotus,6643042
Baseline,2487292
Lotus,11211792
Baseline,2150542
Lotus,6863250
Baseline,2688458
Lotus,9030583
Baseline,2470875
Lotus,7960875
Baseline,2651333
Lotus,16092500
Baseline,1683042
Lotus,7367000
Baseline,1126375
Lotus,5719292
Baseline,876375
Lotus,3686292
Baseline,2786875
Lotus,13933708
Baseline,1271417
Lotus,8453958
Baseline,1912292
Lotus,16363917
Baseline,1068291
Lotus,4645666
Baseline,1373208
Lotus,7742666
Baseline,7576000
Lotus,12402416
Baseline,982833
Lotus,5554791
Baseline,1119916
Lotus,7692333
Baseline,1677625
Lotus,8250292
Baseline,1680667
Lotus,8351750
Baseline,1850000
Lotus,8977791
Baseline,1980917
Lotus,7724667
Baseline,1844875
Lotus,7824917
Baseline,2732583
Lotus,9217083
Baseline,2324750
Lotus,7439250
Baseline,1575416
Lotus,5960625
Baseline,1476958
Lotus,6179458
Baseline,1531542
Lotus,6234542
Baseline,1815042
Lotus,10373542
Baseline,7439000
Lotus,12631792
Baseline,1331375
Lotus,7127125
Baseline,1543333
Lotus,7520167
Baseline,1508375
Lotus,7866875
Baseline,2053375
Lotus,7442125
Baseline,1631042
