topic,time_ns
Baseline,1261458
Lotus,6782916
Baseline,1744375
Lotus,9179375
Baseline,2470667
Lotus,8079959
Baseline,2583209
Lotus,8880334
Baseline,2851500
Lotus,8741709
Baseline,2272458
Lotus,6528417
Baseline,3065084
Lotus,8469584
Baseline,2075959
Lotus,6674709
Baseline,2187625
Lotus,6569417
Baseline,2010917
Lotus,6323375
Baseline,2719041
Lotus,7935791
Baseline,2135625
Lotus,6988958
Baseline,2717042
Lotus,8579625
Baseline,2499833
Lotus,7000125
Baseline,2469917
Lotus,8806875
Baseline,1880917
Lotus,6095417
Baseline,2401667
Lotus,7264417
Baseline,1099958
Lotus,5531292
Baseline,1015000
Lotus,5552667
Baseline,1593625
Lotus,5914500
Baseline,1813583
Lotus,6801958
Baseline,2698083
Lotus,8117208
Baseline,1989584
Lotus,7303750
Baseline,2237292
Lotus,6381125
Baseline,2676250
Lotus,7696666
Baseline,2099833
Lotus,7148375
Baseline,3393792
Lotus,8643875
Baseline,2162458
Lotus,7374416
Baseline,2912500
Lotus,8099250
Baseline,1858125
Lotus,5992792
Baseline,2502958
Lotus,9286458
Baseline,3294292
Lotus,8749542
Baseline,2869500
Lotus,7746709
Baseline,1548292
Lotus,7036417
Baseline,1512584
Lotus,5594500
Baseline,936333
Lotus,4349250
Baseline,1275292
Lotus,5917542
Baseline,2222458
Lotus,7743000
Baseline,1715042
Lotus,9263917
Baseline,1501875
Lotus,5885500
Baseline,2517792
Lotus,8664542
Baseline,1668167
Lotus,6738459
Baseline,1941875
Lotus,9209250
Baseline,2508375
Lotus,7206292
Baseline,2820500
Lotus,7924791
Baseline,2151458
Lotus,7462375
Baseline,2510375
Lotus,7738917
Baseline,1817333
Lotus,7188167
Baseline,2164791
Lotus,6881541
Baseline,1971584
Lotus,8616000
Baseline,2658666
Lotus,9741333
Baseline,1849417
Lotus,7504542
Baseline,3651500
Lotus,9481917
Baseline,1889500
Lotus,8342750
Baseline,3244541
Lotus,8899583
Baseline,2324375
Lotus,6346333
Baseline,2494167
Lotus,8165875
Baseline,1440917
Lotus,8596917
Baseline,1794167
Lotus,6566875
Baseline,1757375
Lotus,7465416
Baseline,1547750
Lotus,6843500
Baseline,2203750
Lotus,6559750
Baseline,3260292
Lotus,8553209
Baseline,2052459
Lotus,6861125
Baseline,1980750
Lotus,6554458
Baseline,3057250
Lotus,8078125
Baseline,2642500
Lotus,8816208
Baseline,2040791
Lotus,6589375
Baseline,1979375
Lotus,7201500
Baseline,2435083
Lotus,7774875
Baseline,2637292
Lotus,8546000
Baseline,2493000
Lotus,8878875
Baseline,2346833
Lotus,7424500
Baseline,2094625
Lotus,6674667
Baseline,2591000
Lotus,8888125
Baseline,2283458
Lotus,8152208
Baseline,2990958
Lotus,8650542
Baseline,2021542
Lotus,6398709
Baseline,2488292
Lotus,7298208
Baseline,2137375
Lotus,6662708
Baseline,2948292
Lotus,8112250
Baseline,2320083
Lotus,8239458
Baseline,3072208
Lotus,8341041
Baseline,1980666
Lotus,7376458
Baseline,2509500
Lotus,7621208
Baseline,2170417
Lotus,6460833
Baseline,1529083
Lotus,6404541
Baseline,1923250
Lotus,7513708
Baseline,1456833
Lotus,5532083
Baseline,973667
Lotus,5576792
Baseline,1591834
Lotus,6922625
Baseline,1497125
Lotus,5289167
Baseline,2440375
Lotus,8782625
Baseline,2876458
Lotus,7730333
Baseline,2414250
Lotus,7438416
Baseline,2413125
Lotus,7444958
Baseline,2743291
Lotus,8118375
Baseline,1041125
Lotus,4652041
Baseline,2304250
Lotus,8019750
Baseline,1907209
Lotus,6595334
Baseline,1944791
Lotus,6948625
Baseline,1813208
Lotus,6336583
Baseline,1888791
Lotus,7012666
Baseline,2271666
Lotus,10423041
Baseline,2671708
Lotus,9996917
Baseline,1751542
Lotus,5969917
Baseline,2486917
Lotus,9308292
Baseline,1814500
Lotus,5823291
Baseline,2695875
Lotus,8207208
Baseline,2285459
Lotus,7298375
Baseline,2644917
Lotus,8261167
Baseline,2657000
Lotus,8364083
Baseline,2710583
Lotus,8586375
Baseline,2127750
Lotus,8939708
Baseline,2360500
Lotus,8863000
Baseline,1681083
Lotus,6860000
Baseline,2925042
Lotus,7510709
Baseline,2193708
Lotus,6678208
Baseline,2527708
Lotus,7150500
Baseline,1806375
Lotus,7161583
Baseline,2930917
Lotus,8431208
Baseline,1938333
Lotus,9279458
Baseline,3302041
Lotus,8631000
Baseline,1728833
Lotus,7072291
Baseline,2020375
Lotus,7471750
Baseline,2295333
Lotus,7825208
Baseline,1986750
Lotus,6418209
Baseline,2048208
Lotus,7220625
Baseline,2570583
Lotus,8212375
Baseline,2541833
